"gene_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","name","F0hPC1","F0hPC2","F0hPC3","F0hPP1","F0hPP2","F0hPP3"
"ENSMUSG00000000183",1.31596596486091,-0.359561074545765,2.12602666642749,-0.16912350170563,0.865699499510816,NA,"Fgf6","fibroblast growth factor 6",2.00041637905343,0,0,0,1.05859345912258,1.00128914095818
"ENSMUSG00000000184",9.89719990205913,-1.05201716811552,0.740135398082744,-1.42138475046684,0.155204937284319,0.531175861277751,"Ccnd2","cyclin D2",14.4891027195703,3.21128149792892,1.07067595823919,10.0018668460024,11.7639191951571,8
"ENSMUSG00000000194",406.551830171804,0.232689648675536,0.131810487342823,1.76533486345694,0.0775075034806342,0.37760501148068,"Gpr107","G protein-coupled receptor 107",509.577391505542,514.407001978875,384.347130450169,393.930376536867,395.046930963032,322.030866550564
"ENSMUSG00000000197",1.45167139841896,-2.40085585100135,1.72010947921017,-1.39575758404852,0.162787507229629,NA,"Nalcn","sodium leak channel, non-selective",0,0,2,6.34223687116564,1,3
"ENSMUSG00000000204",0.44754548693178,-1.21079243912547,5.83094908411555,-0.207649290305735,0.835502814995395,NA,"Slfn4","schlafen 4",0,0,0,0,0,1.00308291024709
"ENSMUSG00000000223",2.47555976852485,0.282588059014897,1.00186491868708,0.282062036252573,0.777895942464498,NA,"Drp2","dystrophin related protein 2",8,2,4,2,6.02095703124706,1
"ENSMUSG00000000244",0.61697333698436,-2.62899823061378,5.40311495485765,-0.48657084896004,0.626562485980285,NA,"Tspan32","tetraspanin 32",0,0,0,2.49813175685493,0,0
"ENSMUSG00000000247",2.95626250091311,-1.72160528988557,1.1697517162089,-1.47176983459806,0.14108304208436,NA,"Lhx2","LIM homeobox protein 2",3,0,1,2,4,2
"ENSMUSG00000000253",1.76774463708434,-1.39143475866307,1.34449361836399,-1.034913620755,0.300709253002105,NA,"Gmpr","guanosine monophosphate reductase",2,1,2,1,4,3
"ENSMUSG00000000266",83.5993499976321,0.101592376188395,0.24552655817948,0.413773470950265,0.679040014385886,0.916281722314214,"Mid2","midline 2",111,115,76.3903140643317,89.2872403053955,83,72
"ENSMUSG00000000275",1636.06620631177,0.0185325541516003,0.160826265377884,0.115233379995833,0.908260141486414,0.985900927181927,"Trim25","tripartite motif-containing 25",1741,1485.70114357513,1170.69288342034,1578.47569814626,1034.44411164438,1142.81774858545
"ENSMUSG00000000276",55.7639338844133,-0.247871313254867,0.244910638906961,-1.01208879435013,0.311495599696134,0.712234852304389,"Dgke","diacylglycerol kinase, epsilon",64.4779215835975,79.3125946970142,64.7384956165776,52.6081900637761,72.139895420753,54.2532072524523
"ENSMUSG00000000278",1325.53406186578,-0.0975778020165628,0.12611658372307,-0.773711110275767,0.439101648346529,0.807447526840271,"Scpep1","serine carboxypeptidase 1",1744,1643,1291,1557,1423,1212
"ENSMUSG00000000282",263.98598239473,0.210728876687925,0.263373686522846,0.800113631206076,0.423644964158193,0.797746219630069,"Mnt","max binding protein",277,296,260,188,158,293
"ENSMUSG00000000290",6.54398935418935,-0.678407615180173,1.05035109922881,-0.645886518972821,0.518352850821498,0.850996609419546,"Itgb2","integrin beta 2",11,1,2,3,3,12
"ENSMUSG00000000295",22.1027794938628,-0.380095988158978,0.401269569672056,-0.94723352301451,0.343519796698598,0.737321564604487,"Hddc2","HD domain containing 2",22,25,23,29,23,24
"ENSMUSG00000000296",19.550671912398,0.997339884756185,0.841201415793526,1.1856136545079,0.235774907404689,0.644577005615279,"Tpd52l1","tumor protein D52-like 1",31.9945282048084,11.7903506893184,26.2089287806357,9.57841185568829,8.58016822140353,10.7819964543112
"ENSMUSG00000000301",7503.83795665427,0.0470684231865801,0.129632279001957,0.363091843705606,0.716536277247208,0.929609231265322,"Pemt","phosphatidylethanolamine N-methyltransferase",10383,10340,7774,7947,8213,6811.7853686754
"ENSMUSG00000000303",1038.46913132385,-3.72438145396434,0.293350416386528,-12.6960155701875,6.22175918923399e-37,2.07557886552846e-33,"Cdh1","cadherin 1",190.467424153667,285,164.673041444891,1530.99639198358,2795,2793.98615877943
"ENSMUSG00000000305",4.12879620617086,-0.526585037716947,1.19592464226065,-0.440316236582889,0.65970808266357,0.908571024363988,"Cdh4","cadherin 4",5,2,3,4,2,0
"ENSMUSG00000000308",5.93452338006525,-0.912859577802521,0.712143860048205,-1.28184715057535,0.199896270289864,0.599554019048763,"Ckmt1","creatine kinase, mitochondrial 1, ubiquitous",4,5,5,11,6,7
"ENSMUSG00000000317",1.88113690006665,-2.10634308972679,1.95631321447867,-1.07669010981358,0.281618732274235,NA,"Bcl6b","B cell CLL/lymphoma 6, member B",3,0,1,3,3,0
"ENSMUSG00000000320",3.24450937460458,1.80931694678323,1.43630857603458,1.259699327131,0.207777848219773,NA,"Alox12","arachidonate 12-lipoxygenase",3.15391586802442,8.00960788459037,4.86029502572055,1.00229241054218,0,3.05326483159445
"ENSMUSG00000000325",39.8121142065087,0.144331117939541,0.408161557725168,0.353612718316615,0.723629141607804,0.931337506328563,NA,NA,60.0989333879675,65.3086536916141,67.1312399702858,34.9882835835825,36.0050849882262,45.3613180838955
"ENSMUSG00000000326",4504.12317083744,0.217356192446917,0.276741676700501,0.785411850641301,0.432212134814673,0.80305243147533,"Comt","catechol-O-methyltransferase",7614.14783417451,7605.48021566489,5795.06763182954,4381.21913355228,6489.42754310609,3225.33583066305
"ENSMUSG00000000339",227.921023175431,0.0788137622779492,0.152068827478097,0.518276911744461,0.60426507940836,0.888617282303853,"Rtca","RNA 3'-terminal phosphate cyclase",256,251,185,222,177,136
"ENSMUSG00000000340",2253.14839075576,0.210430770856556,0.156423510364077,1.34526306414411,0.1785402969468,0.567654067415879,"Dbt","dihydrolipoamide branched chain transacylase E2",2598.42866115384,3128.23057085064,2238.60255229783,1877.71511423459,1847.50915140308,1992.73409937256
"ENSMUSG00000000346",2168.81517110814,0.0635297848064644,0.111170965865567,0.57146022175689,0.567687717094486,0.871972296657404,"Dazap2","DAZ associated protein 2",2783.01399812654,2454.25462234597,1827.52406687345,2270.04939027042,1837.93790866918,1547.44582175973
"ENSMUSG00000000355",349.124386580451,0.336117287375466,0.164610593389345,2.04189341921917,0.0411621047012016,0.262555987157187,"Mcts1","malignant T cell amplified sequence 1",515,431,299,361,280,230
"ENSMUSG00000000374",595.440506622049,-0.0548686412213608,0.155147545292756,-0.353654588075025,0.723597759306636,0.931337506328563,"Trappc10","trafficking protein particle complex 10",724.652397244818,768.484992143768,491.271201299515,658.224060553894,503.266560579582,546.638999278462
"ENSMUSG00000000378",459.153724093455,0.152235664661247,0.205859898499211,0.739511025562033,0.459596747212232,0.821659134280563,"Ccm2","cerebral cavernous malformation 2",602,494,365,504,409,306
"ENSMUSG00000000384",647.687031981297,-0.169702822636746,0.167725351576865,-1.0117899353991,0.311638503218639,0.712316578785461,"Tbrg4","transforming growth factor beta regulated gene 4",705.695190803739,858.318673525648,680.675537523407,679.059489956915,710.051391226373,662.406832168184
"ENSMUSG00000000385",112.441224712434,-0.75584376289812,0.26311524897613,-2.87267182665908,0.00407016674785858,0.0554207194728826,"Tmprss2","transmembrane protease, serine 2",130.135182846693,125.120794496951,86.8006316531458,158.609741787034,130.493968517868,186.353569871751
"ENSMUSG00000000386",28.5807863332992,-0.32677709596127,0.431857000824469,-0.756678936169637,0.44924223726771,0.814606388653393,"Mx1","MX dynamin-like GTPase 1",36.7587459455203,27,21,28.57459398704,20.3746407677989,38
"ENSMUSG00000000392",1.83591838711344,-1.98857466574826,2.07962206890339,-0.956219255163442,0.338961473787893,NA,"Fap","fibroblast activation protein",1,2,0,2,5,0
"ENSMUSG00000000399",12.660222277515,0.973192256319092,1.52836999470515,0.636751741849551,0.52428656455174,0.853662999446465,"Ndufa9","NADH:ubiquinone oxidoreductase subunit A9",36.2920052373541,6.72406292432248,10.7874648683229,6.49141439284762,17.4821347186816,0
"ENSMUSG00000000402",1.39205049320733,-2.19041341908925,1.90169790148217,-1.15181986443906,0.249395103304128,NA,"Egfl6","EGF-like-domain, multiple 6",0,0,1.0003772915699,1,0,3
"ENSMUSG00000000409",2.07083180581541,0.234674055474621,1.73942705975945,0.134914570954804,0.892679418927376,NA,"Lck","lymphocyte protein tyrosine kinase",7,1,2,0,6,2
"ENSMUSG00000000411",1.36990693689211,-0.251964013104234,2.06831390516028,-0.121820973342395,0.903040803335752,NA,"Tssk3","testis-specific serine kinase 3",1,0,0,0,1,0
"ENSMUSG00000000416",3.3707814542039,-0.350758728337175,1.32291803323343,-0.26514018217732,0.790901473782126,0.956176057002381,"Cttnbp2","cortactin binding protein 2",2,4,2,5,1,4
"ENSMUSG00000000420",1177.98231497087,-0.0406199444509075,0.101889515559074,-0.398666577498416,0.690138897834271,0.919757718758069,"Galnt1","polypeptide N-acetylgalactosaminyltransferase 1",1377,1409,872,1178,1072,900
"ENSMUSG00000000439",364.78541532104,0.163043272422048,0.132568244744558,1.22988180718702,0.218741367830142,0.624360387663191,"Mkrn2","makorin, ring finger protein, 2",481.944448514627,481.861424660053,384.618120171675,334.242833022532,357.562344594928,315.097194384441
"ENSMUSG00000000440",305.060642518786,1.07296977454817,0.402314893477258,2.66698994231696,0.00765339622070864,0.0862558438928515,"Pparg","peroxisome proliferator activated receptor gamma",481.333695712186,500.764583494735,346.398599634447,194.089749864123,196,144
"ENSMUSG00000000441",1760.51212423471,0.0568199012946053,0.167553349460371,0.339115281655674,0.73452288672656,0.935612199358459,"Raf1","v-raf-leukemia viral oncogene 1",2227.21035499674,2407.03691531661,2118.29592398843,1595.53536816038,1887.05699842327,1998.30998085946
"ENSMUSG00000000486",6.5754565943059,-0.0616289046716293,0.8753966733464,-0.070401118199409,0.943874401264277,0.990481249322216,"Septin1","septin 1",7,4,4,5,4,4
"ENSMUSG00000000489",19.0486747826086,-0.432217668627549,0.431601723734555,-1.00142711407096,0.316620361022084,0.718321854223354,"Pdgfb","platelet derived growth factor, B polypeptide",18.9688886208364,17,20,25.57969923869,14,23.5093327071469
"ENSMUSG00000000530",9.88319279413504,0.0659639508192765,0.855177447568064,0.0771348110346729,0.938516300283098,0.99045092779508,"Acvrl1","activin A receptor, type II-like 1",10,12,9,3,8,9
"ENSMUSG00000000531",2.2437974542193,1.59619838107851,1.76613711232309,0.903779423432732,0.366112374632702,NA,"Tamalin","trafficking regulator and scaffold protein tamalin",3.22682420891558,5.23248080911058,0,0,1.01988929539904,1.00917082081437
"ENSMUSG00000000532",272.458998771198,0.0199356902036756,0.232159794532219,0.0858705541320975,0.931569319424534,0.989332860768431,"Acvr1b","activin A receptor, type 1B",316.650236554631,402.654596933702,206,252,225.848782511834,266.905690617858
"ENSMUSG00000000538",666.026792844562,-1.17329279224116,0.199100187602849,-5.89297682924121,3.79299610867071e-09,3.53942238280433e-07,"Tom1l2","target of myb1-like 2 (chicken)",514,669,465,785,862,1138
"ENSMUSG00000000552",69.3181971004494,-0.542779563986506,0.679257558499168,-0.799077694749231,0.424245362360112,0.798354268133315,"Zfp385a","zinc finger protein 385A",32.3402234085717,0,43.9231150116437,19.2920903671265,51.4043322649105,29.6227121958593
"ENSMUSG00000000555",614.477255090475,-0.420252578526021,0.172045430915356,-2.44268375097262,0.0145785060270482,0.133977675223782,"Itga5","integrin alpha 5 (fibronectin receptor alpha)",727.59808422866,1019.70894152672,619.844796205769,784.257122489089,889,933.689524333385
"ENSMUSG00000000561",503.958456151422,-0.129369695948276,0.162431399098504,-0.796457437824701,0.425766204733247,0.799338850276707,"Wdr77","WD repeat domain 77",656.142360441317,758.720125860752,574.894556156736,605.598536014813,631.399149484326,647.071279392838
"ENSMUSG00000000562",5.17814715720068,0.371446803085828,0.901012978702597,0.412254664323136,0.68015277411298,0.916763496743798,"Adora3","adenosine A3 receptor",4,6,7,2,3,4.00062692696599
"ENSMUSG00000000563",6305.94821012588,-0.179045588927363,0.0788984872723538,-2.26931586545261,0.0232491244125335,0.182706899976942,"Atp5pb","ATP synthase peripheral stalk-membrane subunit b",7279.57960734776,7861.97540192082,5738.83910249273,7277.58310715232,7047.9785077498,5507.04741610891
"ENSMUSG00000000567",132.182586464164,-1.7905934971284,0.285365644749606,-6.27473394248125,3.50232663366155e-10,3.96059716945591e-08,"Sox9","SRY (sex determining region Y)-box 9",79.0203078630965,84,39.4170734292819,182,137,244
"ENSMUSG00000000568",1275.73327092386,0.0971751393588363,0.146752312530287,0.662171094160992,0.507861577107899,0.845231223301814,"Hnrnpd","heterogeneous nuclear ribonucleoprotein D",1620.01724214991,1664.01205128709,1250.01412123526,1150.01496627471,1136.56043660449,1173.85347883583
"ENSMUSG00000000579",34.7245099107739,-0.16962380080914,0.68521314041866,-0.247548960759132,0.804483405045196,0.95874470968093,"Dynlt1c","dynein light chain Tctex-type 1C",34.0211484274315,26.8430992528381,32.5349807393562,40.1311919390495,35.5167027704097,49.9360670775614
"ENSMUSG00000000581",819.739630549798,0.174625474629181,0.198475337270623,0.87983462847617,0.378948902447482,0.766165780948363,"C1d","C1D nuclear receptor co-repressor",1215,1117,769,796,875,572
"ENSMUSG00000000594",2929.3089275511,-1.06080583519055,0.201983414110748,-5.25194526422308,1.505011918388e-07,9.99148210894001e-06,"Gm2a","GM2 ganglioside activator protein",2509,1998,1625,3162,3904,3513
"ENSMUSG00000000600",216.914626735323,-0.139640696501273,0.179362487480261,-0.778539027100862,0.436251308374692,0.805649943089856,"Krit1","KRIT1, ankyrin repeat containing",295.835757752477,337.178168136279,216.115795550952,262.389839366005,254.505419384478,235.490645035871
"ENSMUSG00000000605",1358.06292262402,-0.0871656563836365,0.108273989841915,-0.80504705249065,0.420792528050479,0.796010135285737,"Clcn4","chloride channel, voltage-sensitive 4",1595.4391991962,1515.98643985661,1092.70671344419,1432.54949475197,1303.81927976137,997.940171956764
"ENSMUSG00000000606",13.7426787127772,0.41811316544609,0.417579402048778,1.00127823210315,0.316692313717078,0.718331163392945,"Vmn2r88","vomeronasal 2, receptor 88",26.0719227763414,25.8616731513835,21.1633911589113,21.3942054293959,12.3088780206712,12.9757504483232
"ENSMUSG00000000617",5.66670575718484,-0.112555106957419,0.853199121223269,-0.131921264517998,0.895046568971249,0.983305930000311,"Grm6","glutamate receptor, metabotropic 6",4,9,6,9,3,5
"ENSMUSG00000000627",0.573540919254583,-2.10281143989866,3.65037086746109,-0.576054191820025,0.564578552785822,NA,"Sema4f","sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain",0,0,0,0,2.00070199000852,0
"ENSMUSG00000000628",24.0752215233458,-0.589347544878726,0.418547141419469,-1.40807924975906,0.159107604634426,0.537910280274077,"Hk2","hexokinase 2",18,35,30,34,37,16.0012261025673
"ENSMUSG00000000631",2506.50075958405,-0.158903308124669,0.123695666338025,-1.28463116638566,0.198921202313704,0.598873655904988,"Myo18a","myosin XVIIIA",2680.70117807208,2658.60187417076,1795.40100621615,2409.00958549587,2109.03066173829,2050.64294473455
"ENSMUSG00000000632",7.96522690448617,-1.07086355234958,0.827701260347043,-1.29378026064692,0.19574133281734,0.593176770093195,"Sez6","seizure related gene 6",5,6.03215617823955,2.05269033025452,7,5,9.43953886220837
"ENSMUSG00000000673",6987.17328149895,0.102209032307369,0.13426378968372,0.76125538053215,0.446504545731658,0.812053464680777,"Haao","3-hydroxyanthranilate 3,4-dioxygenase",9869.09670516794,9741.17398161836,7788.93051483053,6931.75118563929,8835.49968350143,5620.26672378481
"ENSMUSG00000000682",2.01197071093257,-1.70374531456826,1.87529227939884,-0.908522545143964,0.363602207884954,NA,"Cd52","CD52 antigen",1,0,0,2,1,0
"ENSMUSG00000000686",1240.90114661802,0.383958454231418,0.126942616146168,3.02466158243744,0.00248911471601679,0.0388931461013209,"Abhd15","abhydrolase domain containing 15",1237.56700027582,1466.39513119501,1020.92502450075,756.965472189806,761.223904049538,848.353046469939
"ENSMUSG00000000693",4.44574852742196,-1.45143701001644,1.01568596305489,-1.42902143261971,0.152998073373795,0.527600645211105,"Loxl3","lysyl oxidase-like 3",2.03007345840903,5.04187669123437,3.03293238241684,3.09397449835846,6.02214388912197,5.13070555437799
"ENSMUSG00000000706",2.72966744507817,-1.89995487561144,1.22545291005387,-1.55041035034787,0.121043055852281,NA,"Btn1a1","butyrophilin, subfamily 1, member A1",1,4,0,3.45635607570941,6.89794758545789,4.60598351502631
"ENSMUSG00000000708",2163.62247907704,-0.0660259718769978,0.160092999835038,-0.412422604017863,0.68002969811593,0.916690200187793,"Kat2b","K(lysine) acetyltransferase 2B",2613,2641,1779,2402,2095,1690
"ENSMUSG00000000711",2150.79095014707,0.128926354293347,0.0643830795167983,2.00248815777302,0.0452322554875127,0.278399552854724,"Rab5b","RAB5B, member RAS oncogene family",2727.9052286166,2854.62501639732,2001.99774297715,2223.80431142132,1918.60334319773,1651.14910676977
"ENSMUSG00000000724",1.52979385421456,3.34715763389829,1.69534062927691,1.97432750451211,0.0483445153890749,NA,"Cryba1","crystallin, beta A1",3.0091828244092,2.01226177514893,2.01187199663164,0,0,0
"ENSMUSG00000000731",2.14025652295936,0.110171276725873,1.82248435258312,0.060451150963091,0.951796320535806,NA,"Aire","autoimmune regulator",5.54297517756561,1.32310927700343,4.32183309669918,0,0,3
"ENSMUSG00000000738",905.569605506393,-0.126034652475754,0.134304814404203,-0.938422446245599,0.348027355122233,0.742077683092177,"Spg7","SPG7, paraplegin matrix AAA peptidase subunit",1006.72696277564,1035.92531954645,696.265443131975,736.211915591259,875.742192379154,890.304860860805
"ENSMUSG00000000739",142.497382661981,-5.30959815706475,0.869379438418642,-6.10734268885246,1.01303577418556e-09,1.05608979458845e-07,"Sult5a1","sulfotransferase family 5A, member 1",9.21914288857077,19.0980440404902,11.8615604368201,241.254269019117,374.822896099961,202.962993098188
"ENSMUSG00000000740",4702.96336532573,-0.137931295600553,0.138512670390235,-0.995802732067443,0.319346002587982,0.719555829801045,"Rpl13","ribosomal protein L13",4976.5850130504,5352.92862500413,4096.63156237444,4930.0337733309,4833.30903347015,3543.95271270048
"ENSMUSG00000000743",1145.48056667628,0.0699322590442903,0.0977894354793669,0.715131023115945,0.474528085881401,0.829310307735846,"Chmp1a","charged multivesicular body protein 1A",1418,1366,935,1139,1036,777
"ENSMUSG00000000751",470.709453412158,0.423851834923364,0.163115140895373,2.59848247438437,0.00936368247413843,0.0992446218704553,"Rpa1","replication protein A1",707,721,619,416,375,418
"ENSMUSG00000000753",10866.4016054659,-0.242984214445333,0.0804478909707992,-3.02039259840299,0.00252447223128766,0.0392617219747115,"Serpinf1","serine (or cysteine) peptidase inhibitor, clade F, member 1",12963,12199,8062,11745,10813,10216
"ENSMUSG00000000759",274.334286096371,-0.114020314315498,0.21673190184622,-0.526089206730626,0.598826227474419,0.886579072386403,"Tubgcp3","tubulin, gamma complex component 3",309,336,273,254,245.073146355427,251.824805513142
"ENSMUSG00000000776",152.971375061829,-0.0490096453758901,0.184786657874499,-0.265222857210697,0.790837787722752,0.956176057002381,"Polr3d","polymerase (RNA) III (DNA directed) polypeptide D",178.252390789374,221.191428651199,165,164.884030441567,151.431992112006,171.04334218624
"ENSMUSG00000000782",77.7652310228871,1.76414442519814,0.288346311335601,6.11814459157371,9.46711486030065e-10,1.00261254520517e-07,"Tcf7","transcription factor 7, T cell specific",181,226,169,49,37,50
"ENSMUSG00000000787",7377.74278309337,-0.0679744194797825,0.145975291702444,-0.465657021041216,0.641461020856832,0.904153417783137,"Ddx3x","DEAD box helicase 3, X-linked",10045,10632,8026,9085,9366,6873.9996034332
"ENSMUSG00000000791",11.887824323871,-0.480173786907603,0.526756575278946,-0.911566764312957,0.361996824845549,0.753150827987398,"Il12rb1","interleukin 12 receptor, beta 1",10.3593819677013,12,8.5,17.0916809292972,6.34789968230147,11.6229229122665
"ENSMUSG00000000792",0.519599888843771,-3.40194449166348,3.9960260526114,-0.851331909970984,0.394585003792427,NA,"Slc5a5","solute carrier family 5 (sodium iodide symporter), member 5",0,0,0,1,4,0
"ENSMUSG00000000804",728.704720408114,-0.151388610342538,0.167510026353714,-0.903758501135129,0.366123471079402,0.755458728635154,"Usp32","ubiquitin specific peptidase 32",769,694,478,612,589,579
"ENSMUSG00000000811",199.094078115762,-0.357132013434196,0.208894097650195,-1.70963190176984,0.0873339625604123,0.404750814972825,"Txnrd3","thioredoxin reductase 3",159,201,110,152,193,150
"ENSMUSG00000000823",491.2729004311,-0.201462436482642,0.176859902014913,-1.13910747539402,0.254658329966177,0.660221634946312,"Zfp512b","zinc finger protein 512B",483.708432524632,629,385,414,406.005163390137,387.481673119053
"ENSMUSG00000000826",1619.55829695701,-0.134869529849394,0.139901371275848,-0.964032937057258,0.335029412951306,0.730966402917483,"Dnajc5","DnaJ heat shock protein family (Hsp40) member C5",2085,2117,1519,1876,1813,1568
"ENSMUSG00000000827",505.929272959562,0.0448908349151103,0.154764721584036,0.290058577017081,0.771771424857818,0.949119427687461,"Tpd52l2","tumor protein D52-like 2",739,696,467,586,541,350
"ENSMUSG00000000838",470.331939448331,-0.0692707547268104,0.157261610850931,-0.440481019824173,0.659588756085038,0.908571024363988,"Fmr1","fragile X messenger ribonucleoprotein 1",578,678,323,476,429,451
"ENSMUSG00000000861",1.52869403021204,-2.96583082935532,2.15109456966983,-1.37875427290514,0.167970529709196,NA,"Bcl11a","BCL11 transcription factor A",1.07480309081486,0,0,5.48916638506696,0,2
"ENSMUSG00000000869",2.55091486113888,0.944077008758414,1.01760767976785,0.92774163120879,0.353541607775608,NA,"Il4","interleukin 4",5,6,5,3,2,2
"ENSMUSG00000000876",1893.23329400505,0.0538275182763247,0.167907069638864,0.320579225115996,0.748529283267369,0.941077107203665,"Pxmp4","peroxisomal membrane protein 4",2002.20404104204,1913.45212857534,1625.41651638507,1494.74702371655,1427.29528432487,1216.84779948032
"ENSMUSG00000000881",377.290919297437,0.189323735479811,0.219352982906699,0.863100802054466,0.388082047012124,0.772827499310833,"Dlg3","discs large MAGUK scaffold protein 3",478,425,292,347,269,280
"ENSMUSG00000000884",22.4207076240037,-0.939641294662588,0.739970223023307,-1.26983663048424,0.204142829662655,0.605524340490017,"Gnb1l","guanine nucleotide binding protein (G protein), beta polypeptide 1-like",12.0795495029557,22.030977834125,9.36793283423024,16,27.6198220258773,8.60393507893627
