From,To
A6H5Y3,ENSMUSG00000021311.10
A6H5Z3,ENSMUSG00000033769.17
A6H611,ENSMUSG00000021993.11
A6H630,ENSMUSG00000061759.16
A6H6A9,ENSMUSG00000026721.17
A6H8H2,ENSMUSG00000038024.18
A6X919,ENSMUSG00000043067.16
A6X935,ENSMUSG00000021922.18
A7MCT6,ENSMUSG00000070644.14
A8C756,ENSMUSG00000024251.11
B1AR13,ENSMUSG00000078695.9
B1AUE5,ENSMUSG00000029047.14
B1AVZ0,ENSMUSG00000073016.4
B1AY10,ENSMUSG00000028423.16
B1AZA5,ENSMUSG00000055296.15
B1AZI6,ENSMUSG00000037475.16
B2RQC6,ENSMUSG00000013629.17
B2RQE8,ENSMUSG00000050730.18
B2RR83,ENSMUSG00000034653.12
B2RRE7,ENSMUSG00000036990.14
B2RVL6,ENSMUSG00000055538.8
B2RX12,ENSMUSG00000020865.17
B2RX14,ENSMUSG00000034610.15
B2RXA1,ENSMUSG00000087141.2
B2RXC1,ENSMUSG00000038102.16
B2RXS4,ENSMUSG00000036606.18
B2RY04,ENSMUSG00000044447.6
B2RY56,ENSMUSG00000010608.16
B5X0G2,ENSMUSG00000096688.2
B7ZMP1,ENSMUSG00000022401.13
B9EJ80,ENSMUSG00000074746.4
B9EJ86,ENSMUSG00000020189.16
B9EJR8,ENSMUSG00000025857.11
B9EKI3,ENSMUSG00000030059.16
C0HKD8,ENSMUSG00000048222.4
C0HKD8,ENSMUSG00000068479.6
C0HKG5,ENSMUSG00000094724.9
C0HKG5,ENSMUSG00000095687.3
C0HKG5,ENSMUSG00000116876.2
C0HKG5,ENSMUSG00000116988.2
D3YXK2,ENSMUSG00000071054.13
D3YZP9,ENSMUSG00000048701.14
D3Z7P3,ENSMUSG00000026103.15
E9PV24,ENSMUSG00000028001.17
E9PVA8,ENSMUSG00000041638.19
E9PVB5,ENSMUSG00000027194.17
E9PVD1,ENSMUSG00000061882.14
E9PW74,ENSMUSG00000091721.5
E9PXF8,ENSMUSG00000038371.16
E9PYK3,ENSMUSG00000054509.8
E9PZJ8,ENSMUSG00000038774.10
E9PZM4,ENSMUSG00000078671.12
E9Q394,ENSMUSG00000066406.17
E9Q3C1,ENSMUSG00000045975.9
E9Q3L2,ENSMUSG00000041720.15
E9Q414,ENSMUSG00000020609.15
E9Q4Z2,ENSMUSG00000042010.17
E9Q557,ENSMUSG00000054889.11
E9Q5C9,ENSMUSG00000015176.12
E9Q5F9,ENSMUSG00000044791.18
E9Q5K9,ENSMUSG00000035851.15
E9Q634,ENSMUSG00000032220.11
E9Q6J5,ENSMUSG00000061755.11
E9Q6P5,ENSMUSG00000033530.9
E9Q735,ENSMUSG00000059890.17
E9Q784,ENSMUSG00000022000.12
E9Q7D5,ENSMUSG00000033542.14
E9Q7G0,ENSMUSG00000066306.14
E9Q8D0,ENSMUSG00000044224.17
E9QAM5,ENSMUSG00000027580.18
E9QAT4,ENSMUSG00000026924.18
F2Z461,ENSMUSG00000029798.12
F6ZDS4,ENSMUSG00000006005.19
F8VPU2,ENSMUSG00000025555.15
G3X982,ENSMUSG00000064294.13
G3X9K3,ENSMUSG00000067851.12
G3XA57,ENSMUSG00000040022.15
G5E829,ENSMUSG00000019943.11
G5E870,ENSMUSG00000026219.15
G5E872,ENSMUSG00000026269.15
G5E897,ENSMUSG00000034487.5
G5E8K5,ENSMUSG00000069601.15
O08529,ENSMUSG00000026509.16
O08530,ENSMUSG00000045092.9
O08539,ENSMUSG00000024381.18
O08547,ENSMUSG00000027879.10
O08553,ENSMUSG00000022048.10
O08573,ENSMUSG00000001123.16
O08579,ENSMUSG00000001964.15
O08580,ENSMUSG00000024955.16
O08582,ENSMUSG00000042535.10
O08583,ENSMUSG00000025134.3
O08586,ENSMUSG00000013663.9
O08600,ENSMUSG00000015337.6
O08601,ENSMUSG00000028158.15
O08663,ENSMUSG00000036112.16
O08677,ENSMUSG00000022875.19
O08705,ENSMUSG00000021135.9
O08715,ENSMUSG00000018428.16
O08738,ENSMUSG00000027997.10
O08749,ENSMUSG00000020664.11
O08759,ENSMUSG00000025326.13
O08784,ENSMUSG00000024613.17
O08788,ENSMUSG00000031865.17
O08795,ENSMUSG00000003402.15
O08800,ENSMUSG00000026315.14
O08807,ENSMUSG00000025289.16
O08808,ENSMUSG00000024456.18
O08810,ENSMUSG00000020929.15
O08811,ENSMUSG00000030400.18
O08848,ENSMUSG00000018199.10
O08856,ENSMUSG00000070002.8
O08912,ENSMUSG00000000420.16
O08914,ENSMUSG00000034171.14
O08915,ENSMUSG00000024847.16
O08917,ENSMUSG00000059714.14
O08966,ENSMUSG00000023829.10
O08992,ENSMUSG00000028249.16
O08997,ENSMUSG00000018585.10
O09005,ENSMUSG00000038633.6
O09012,ENSMUSG00000005069.13
O09043,ENSMUSG00000002204.10
O09044,ENSMUSG00000027287.15
O09061,ENSMUSG00000014769.11
O09106,ENSMUSG00000028800.16
O09110,ENSMUSG00000018932.10
O09111,ENSMUSG00000031059.10
O09117,ENSMUSG00000020570.16
O09131,ENSMUSG00000025068.9
O09158,ENSMUSG00000029630.16
O09159,ENSMUSG00000005142.11
O09164,ENSMUSG00000072941.6
O09167,ENSMUSG00000041453.13
O09172,ENSMUSG00000028124.17
O09173,ENSMUSG00000022821.14
O09174,ENSMUSG00000022244.8
O35071,ENSMUSG00000020821.18
O35075,ENSMUSG00000022898.14
O35099,ENSMUSG00000071369.12
O35114,ENSMUSG00000029426.9
O35129,ENSMUSG00000004264.18
O35130,ENSMUSG00000004268.12
O35134,ENSMUSG00000049553.12
O35143,ENSMUSG00000054428.13
O35166,ENSMUSG00000020946.14
O35185,ENSMUSG00000030103.12
O35215,ENSMUSG00000001666.9
O35218,ENSMUSG00000041781.10
O35226,ENSMUSG00000005625.16
O35239,ENSMUSG00000032290.8
O35250,ENSMUSG00000020792.16
O35286,ENSMUSG00000029169.12
O35295,ENSMUSG00000094483.3
O35309,ENSMUSG00000026946.10
O35316,ENSMUSG00000030096.9
O35326,ENSMUSG00000021134.18
O35343,ENSMUSG00000027782.11
O35344,ENSMUSG00000021929.10
O35345,ENSMUSG00000003731.14
O35350,ENSMUSG00000024942.20
O35381,ENSMUSG00000032249.15
O35382,ENSMUSG00000029763.18
O35386,ENSMUSG00000026664.8
O35387,ENSMUSG00000027944.14
O35405,ENSMUSG00000003363.16
O35423,ENSMUSG00000026272.7
O35435,ENSMUSG00000031730.19
O35445,ENSMUSG00000015478.14
O35448,ENSMUSG00000015474.17
O35453,ENSMUSG00000001249.15
O35459,ENSMUSG00000053898.13
O35465,ENSMUSG00000019428.17
O35469,ENSMUSG00000027869.15
O35488,ENSMUSG00000027359.17
O35490,ENSMUSG00000069324.7
O35490,ENSMUSG00000074768.7
O35492,ENSMUSG00000032316.9
O35516,ENSMUSG00000027878.12
O35551,ENSMUSG00000020817.17
O35593,ENSMUSG00000026914.16
O35594,ENSMUSG00000029469.15
O35598,ENSMUSG00000054693.15
O35604,ENSMUSG00000024413.15
O35609,ENSMUSG00000028049.16
O35623,ENSMUSG00000032757.7
O35627,ENSMUSG00000005677.15
O35632,ENSMUSG00000010047.13
O35638,ENSMUSG00000025862.15
O35643,ENSMUSG00000009090.18
O35657,ENSMUSG00000007038.6
O35660,ENSMUSG00000068762.12
O35678,ENSMUSG00000033174.18
O35680,ENSMUSG00000045948.9
O35682,ENSMUSG00000068566.14
O35683,ENSMUSG00000016427.8
O35685,ENSMUSG00000028851.7
O35704,ENSMUSG00000021468.9
O35710,ENSMUSG00000023087.17
O35711,ENSMUSG00000036528.17
O35728,ENSMUSG00000028715.3
O35730,ENSMUSG00000024325.9
O35737,ENSMUSG00000007850.17
O35738,ENSMUSG00000072294.6
O35841,ENSMUSG00000027193.13
O35857,ENSMUSG00000002949.16
O35864,ENSMUSG00000025917.10
O35887,ENSMUSG00000029767.17
O35900,ENSMUSG00000007050.18
O35943,ENSMUSG00000059363.11
O35945,ENSMUSG00000024747.4
O35955,ENSMUSG00000031897.10
O35963,ENSMUSG00000027739.10
O35969,ENSMUSG00000020150.14
O35972,ENSMUSG00000037772.14
O35980,ENSMUSG00000041429.4
O35988,ENSMUSG00000017009.4
O54692,ENSMUSG00000032264.10
O54734,ENSMUSG00000028757.5
O54749,ENSMUSG00000052520.8
O54750,ENSMUSG00000052914.5
O54774,ENSMUSG00000020198.9
O54782,ENSMUSG00000029119.10
O54804,ENSMUSG00000024843.16
O54818,ENSMUSG00000000296.9
O54825,ENSMUSG00000023988.9
O54833,ENSMUSG00000046707.10
O54879,ENSMUSG00000015217.12
O54904,ENSMUSG00000034780.7
O54909,ENSMUSG00000069456.5
O54916,ENSMUSG00000019854.18
O54940,ENSMUSG00000011958.18
O54941,ENSMUSG00000037935.17
O54946,ENSMUSG00000029131.15
O54950,ENSMUSG00000067713.8
O54962,ENSMUSG00000024844.16
O54965,ENSMUSG00000036503.14
O54983,ENSMUSG00000030905.6
O54984,ENSMUSG00000052456.10
O54988,ENSMUSG00000025060.16
O55003,ENSMUSG00000078566.9
O55022,ENSMUSG00000006373.11
O55028,ENSMUSG00000030802.15
O55029,ENSMUSG00000032458.7
O55071,ENSMUSG00000066704.7
O55106,ENSMUSG00000024077.16
O55111,ENSMUSG00000044393.16
O55125,ENSMUSG00000034285.16
O55135,ENSMUSG00000027613.16
O55137,ENSMUSG00000072949.7
O55142,ENSMUSG00000060636.15
O55143,ENSMUSG00000029467.16
O55176,ENSMUSG00000034403.17
O55186,ENSMUSG00000032679.13
O55201,ENSMUSG00000003435.10
O55222,ENSMUSG00000030890.17
O55229,ENSMUSG00000022617.16
O55234,ENSMUSG00000022193.8
O55236,ENSMUSG00000028274.18
O55239,ENSMUSG00000032271.14
O55240,ENSMUSG00000025350.16
O55242,ENSMUSG00000036078.17
O70131,ENSMUSG00000037966.16
O70152,ENSMUSG00000093752.2
O70152,ENSMUSG00000078919.11
O70194,ENSMUSG00000016554.10
O70228,ENSMUSG00000027546.16
O70230,ENSMUSG00000061079.15
O70251,ENSMUSG00000025967.17
O70252,ENSMUSG00000004070.16
O70281,ENSMUSG00000034118.16
O70310,ENSMUSG00000020936.9
O70311,ENSMUSG00000026643.17
O70324,ENSMUSG00000033965.11
O70325,ENSMUSG00000075706.12
O70370,ENSMUSG00000038642.11
O70378,ENSMUSG00000031819.14
O70400,ENSMUSG00000055044.13
O70422,ENSMUSG00000001524.15
O70435,ENSMUSG00000060073.10
O70451,ENSMUSG00000020102.16
O70472,ENSMUSG00000026116.12
O70475,ENSMUSG00000029201.15
O70481,ENSMUSG00000027272.6
O70494,ENSMUSG00000027109.17
O70503,ENSMUSG00000027195.11
O70551,ENSMUSG00000004865.17
O70566,ENSMUSG00000034480.20
O70570,ENSMUSG00000026417.14
O70571,ENSMUSG00000019577.7
O70572,ENSMUSG00000019822.13
O70579,ENSMUSG00000022404.9
O70582,ENSMUSG00000032807.6
O70585,ENSMUSG00000071454.14
O70589,ENSMUSG00000031012.18
O70591,ENSMUSG00000006412.11
O88271,ENSMUSG00000031954.7
O88342,ENSMUSG00000005103.13
O88343,ENSMUSG00000060961.17
O88425,ENSMUSG00000032478.15
O88428,ENSMUSG00000024899.8
O88441,ENSMUSG00000027099.10
O88451,ENSMUSG00000040134.9
O88455,ENSMUSG00000058454.16
O88456,ENSMUSG00000001794.14
O88487,ENSMUSG00000027012.16
O88502,ENSMUSG00000025584.18
O88520,ENSMUSG00000024976.15
O88522,ENSMUSG00000004221.17
O88531,ENSMUSG00000028657.15
O88532,ENSMUSG00000022201.17
O88533,ENSMUSG00000020182.17
O88543,ENSMUSG00000019373.12
O88544,ENSMUSG00000035297.15
O88545,ENSMUSG00000019494.15
O88551,ENSMUSG00000022512.4
O88552,ENSMUSG00000047230.7
O88569,ENSMUSG00000004980.17
O88587,ENSMUSG00000000326.14
O88622,ENSMUSG00000021911.17
O88630,ENSMUSG00000010392.9
O88653,ENSMUSG00000091512.6
O88668,ENSMUSG00000040713.13
O88685,ENSMUSG00000002102.16
O88696,ENSMUSG00000002660.9
O88697,ENSMUSG00000026201.13
O88712,ENSMUSG00000037373.13
O88736,ENSMUSG00000026675.13
O88738,ENSMUSG00000024073.17
O88746,ENSMUSG00000042870.16
O88783,ENSMUSG00000026579.9
O88792,ENSMUSG00000038235.5
O88796,ENSMUSG00000024800.9
O88811,ENSMUSG00000055371.18
O88822,ENSMUSG00000032018.15
O88824,ENSMUSG00000027937.16
O88829,ENSMUSG00000056091.13
O88833,ENSMUSG00000066072.14
O88843,ENSMUSG00000045867.11
O88844,ENSMUSG00000025950.17
O88845,ENSMUSG00000047804.16
O88851,ENSMUSG00000027428.10
O88856,ENSMUSG00000029344.16
O88876,ENSMUSG00000066026.15
O88878,ENSMUSG00000024750.12
O88888,ENSMUSG00000004931.12
O88895,ENSMUSG00000024454.17
O88908,ENSMUSG00000023045.14
O88939,ENSMUSG00000035011.16
O88947,ENSMUSG00000031444.17
O88952,ENSMUSG00000027162.8
O88958,ENSMUSG00000052102.16
O88967,ENSMUSG00000026775.10
O88968,ENSMUSG00000020432.13
O88983,ENSMUSG00000020903.14
O88986,ENSMUSG00000006378.16
O89001,ENSMUSG00000020841.6
O89013,ENSMUSG00000035212.15
O89016,ENSMUSG00000021240.7
O89017,ENSMUSG00000021190.15
O89020,ENSMUSG00000029369.18
O89023,ENSMUSG00000030894.6
O89050,ENSMUSG00000025609.16
O89051,ENSMUSG00000022108.9
O89079,ENSMUSG00000055681.15
O89086,ENSMUSG00000031167.17
O89090,ENSMUSG00000001280.14
O89106,ENSMUSG00000060579.14
O89110,ENSMUSG00000026029.15
O89112,ENSMUSG00000026000.17
P00015,ENSMUSG00000056436.5
P00158,ENSMUSG00000064370.1
P00186,ENSMUSG00000032310.5
P00329,ENSMUSG00000074207.11
P00375,ENSMUSG00000021707.6
P00397,ENSMUSG00000064351.1
P00405,ENSMUSG00000064354.1
P00416,ENSMUSG00000064358.1
P00493,ENSMUSG00000025630.9
P00687,ENSMUSG00000074264.13
P00848,ENSMUSG00000064357.1
P00920,ENSMUSG00000027562.13
P01027,ENSMUSG00000024164.16
P01029,ENSMUSG00000073418.5
P01887,ENSMUSG00000060802.9
P01898,ENSMUSG00000067235.15
P01899,ENSMUSG00000073411.13
P01901,ENSMUSG00000061232.17
P02463,ENSMUSG00000031502.12
P02798,ENSMUSG00000031762.8
P02802,ENSMUSG00000031765.9
P03888,ENSMUSG00000064341.1
P03893,ENSMUSG00000064345.1
P03899,ENSMUSG00000064360.1
P03903,ENSMUSG00000065947.1
P03911,ENSMUSG00000064363.1
P03921,ENSMUSG00000064367.1
P03930,ENSMUSG00000064356.1
P04104,ENSMUSG00000046834.8
P04186,ENSMUSG00000090231.11
P04627,ENSMUSG00000001127.13
P04919,ENSMUSG00000006574.16
P05017,ENSMUSG00000020053.19
P05063,ENSMUSG00000017390.16
P05064,ENSMUSG00000030695.17
P05132,ENSMUSG00000005469.11
P05201,ENSMUSG00000025190.14
P05202,ENSMUSG00000031672.9
P05784,ENSMUSG00000023043.8
P05977,ENSMUSG00000061816.16
P06151,ENSMUSG00000063229.16
P06339,ENSMUSG00000067212.9
P06537,ENSMUSG00000024431.16
P06683,ENSMUSG00000022149.19
P06684,ENSMUSG00000026874.11
P06728,ENSMUSG00000032080.7
P06745,ENSMUSG00000036427.6
P06797,ENSMUSG00000021477.10
P06801,ENSMUSG00000032418.16
P06909,ENSMUSG00000026365.16
P07309,ENSMUSG00000061808.5
P07356,ENSMUSG00000032231.15
P07361,ENSMUSG00000061540.4
P07724,ENSMUSG00000029368.11
P07742,ENSMUSG00000030978.11
P07758,ENSMUSG00000066366.15
P07901,ENSMUSG00000021270.14
P08030,ENSMUSG00000006589.9
P08043,ENSMUSG00000049321.18
P08071,ENSMUSG00000032496.8
P08103,ENSMUSG00000003283.16
P08113,ENSMUSG00000020048.14
P08226,ENSMUSG00000002985.17
P08228,ENSMUSG00000022982.11
P08249,ENSMUSG00000019179.11
P08607,ENSMUSG00000026405.15
P08752,ENSMUSG00000032562.14
P08775,ENSMUSG00000005198.16
P09055,ENSMUSG00000025809.16
P09103,ENSMUSG00000025130.12
P09242,ENSMUSG00000028766.11
P09405,ENSMUSG00000026234.13
P09411,ENSMUSG00000062070.13
P09528,ENSMUSG00000024661.8
P09602,ENSMUSG00000070713.6
P09602,ENSMUSG00000003038.16
P09671,ENSMUSG00000006818.6
P09813,ENSMUSG00000005681.13
P09925,ENSMUSG00000015790.17
P0C0S6,ENSMUSG00000037894.14
P0DN34,ENSMUSG00000113902.2
P0DN89,ENSMUSG00000072676.13
P0DP26,ENSMUSG00000019370.11
P0DP26,ENSMUSG00000036438.15
P0DP26,ENSMUSG00000001175.17
P10126,ENSMUSG00000037742.15
P10518,ENSMUSG00000028393.11
P10605,ENSMUSG00000021939.9
P10630,ENSMUSG00000022884.17
P10639,ENSMUSG00000028367.6
P10648,ENSMUSG00000057933.11
P10649,ENSMUSG00000058135.13
P10711,ENSMUSG00000033813.16
P10833,ENSMUSG00000038387.10
P10852,ENSMUSG00000010095.14
P10922,ENSMUSG00000096210.3
P11031,ENSMUSG00000022205.16
P11276,ENSMUSG00000026193.16
P11352,ENSMUSG00000063856.9
P11438,ENSMUSG00000031447.8
P11499,ENSMUSG00000023944.15
P11531,ENSMUSG00000045103.20
P11588,ENSMUSG00000094793.2
P11672,ENSMUSG00000026822.15
P11679,ENSMUSG00000049382.11
P11688,ENSMUSG00000000555.9
P11714,ENSMUSG00000068086.7
P11725,ENSMUSG00000031173.14
P11862,ENSMUSG00000030498.16
P11881,ENSMUSG00000030102.12
P11930,ENSMUSG00000034875.6
P11983,ENSMUSG00000068039.14
P12246,ENSMUSG00000026542.7
P12265,ENSMUSG00000025534.18
P12382,ENSMUSG00000020277.11
P12710,ENSMUSG00000054422.8
P12787,ENSMUSG00000000088.8
P12790,ENSMUSG00000040660.7
P12815,ENSMUSG00000021576.7
P12970,ENSMUSG00000062647.17
P13020,ENSMUSG00000026879.15
P13439,ENSMUSG00000022814.7
P13516,ENSMUSG00000037071.4
P13597,ENSMUSG00000037405.9
P13707,ENSMUSG00000023019.13
P14094,ENSMUSG00000026576.13
P14115,ENSMUSG00000046364.15
P14131,ENSMUSG00000037563.16
P14148,ENSMUSG00000043716.14
P14152,ENSMUSG00000020321.17
P14206,ENSMUSG00000032518.7
P14211,ENSMUSG00000003814.9
P14246,ENSMUSG00000027690.14
P14576,ENSMUSG00000073079.7
P14576,ENSMUSG00000112449.2
P14602,ENSMUSG00000004951.11
P14685,ENSMUSG00000017221.15
P14733,ENSMUSG00000024590.9
P14824,ENSMUSG00000018340.14
P14847,ENSMUSG00000037942.6
P14869,ENSMUSG00000067274.11
P15105,ENSMUSG00000026473.18
P15116,ENSMUSG00000024304.15
P15208,ENSMUSG00000005534.11
P15392,ENSMUSG00000074254.5
P15532,ENSMUSG00000037601.12
P15535,ENSMUSG00000028413.14
P15626,ENSMUSG00000040562.13
P15864,ENSMUSG00000036181.3
P15920,ENSMUSG00000038023.13
P16015,ENSMUSG00000027559.6
P16045,ENSMUSG00000068220.7
P16054,ENSMUSG00000045038.15
P16254,ENSMUSG00000009549.15
P16294,ENSMUSG00000031138.5
P16301,ENSMUSG00000035237.8
P16330,ENSMUSG00000006782.17
P16331,ENSMUSG00000020051.18
P16332,ENSMUSG00000023921.10
P16406,ENSMUSG00000028024.15
P16460,ENSMUSG00000076441.10
P16546,ENSMUSG00000057738.15
P16627,ENSMUSG00000007033.5
P16675,ENSMUSG00000017760.17
P16858,ENSMUSG00000057666.19
P16882,ENSMUSG00000055737.13
P17047,ENSMUSG00000016534.16
P17095,ENSMUSG00000078249.6
P17095,ENSMUSG00000046711.17
P17156,ENSMUSG00000059970.8
P17182,ENSMUSG00000059040.6
P17182,ENSMUSG00000063524.14
P17225,ENSMUSG00000006498.17
P17426,ENSMUSG00000060279.16
P17427,ENSMUSG00000002957.12
P17439,ENSMUSG00000028048.12
P17563,ENSMUSG00000068874.14
P17665,ENSMUSG00000017778.15
P17742,ENSMUSG00000071866.13
P17751,ENSMUSG00000023456.17
P17809,ENSMUSG00000028645.12
P17879,ENSMUSG00000090877.4
P17918,ENSMUSG00000027342.15
P18052,ENSMUSG00000027303.19
P18242,ENSMUSG00000007891.17
P18572,ENSMUSG00000023175.16
P18581,ENSMUSG00000031596.16
P18608,ENSMUSG00000040681.17
P18653,ENSMUSG00000003644.18
P18654,ENSMUSG00000031309.16
P18760,ENSMUSG00000056201.10
P18826,ENSMUSG00000034055.17
P18828,ENSMUSG00000020592.16
P19096,ENSMUSG00000025153.10
P19157,ENSMUSG00000060803.7
P19221,ENSMUSG00000027249.16
P19253,ENSMUSG00000074129.15
P19258,ENSMUSG00000107283.4
P19426,ENSMUSG00000024369.17
P19639,ENSMUSG00000004038.10
P19783,ENSMUSG00000031818.13
P20029,ENSMUSG00000026864.14
P20060,ENSMUSG00000021665.10
P20108,ENSMUSG00000024997.8
P20152,ENSMUSG00000026728.10
P20918,ENSMUSG00000059481.6
P21107,ENSMUSG00000027940.19
P21126,ENSMUSG00000015290.16
P21180,ENSMUSG00000024371.15
P21278,ENSMUSG00000034781.6
P21279,ENSMUSG00000024639.6
P21300,ENSMUSG00000052131.8
P21440,ENSMUSG00000042476.13
P21447,ENSMUSG00000040584.9
P21614,ENSMUSG00000035540.13
P21619,ENSMUSG00000062075.14
P21958,ENSMUSG00000037321.18
P21981,ENSMUSG00000037820.16
P22272,ENSMUSG00000027947.12
P22315,ENSMUSG00000024588.11
P22361,ENSMUSG00000029556.13
P22366,ENSMUSG00000032508.9
P22599,ENSMUSG00000071178.12
P22892,ENSMUSG00000031731.17
P22907,ENSMUSG00000032126.17
P23116,ENSMUSG00000024991.9
P23188,ENSMUSG00000030530.16
P23249,ENSMUSG00000002227.16
P23506,ENSMUSG00000019795.18
P23589,ENSMUSG00000025317.8
P23591,ENSMUSG00000022570.8
P23780,ENSMUSG00000045594.11
P23881,ENSMUSG00000001604.15
P23950,ENSMUSG00000021127.9
P23953,ENSMUSG00000057400.15
P24270,ENSMUSG00000027187.11
P24369,ENSMUSG00000032383.8
P24456,ENSMUSG00000094806.3
P24457,ENSMUSG00000068085.7
P24472,ENSMUSG00000032348.7
P24527,ENSMUSG00000015889.9
P24547,ENSMUSG00000062867.14
P24549,ENSMUSG00000053279.9
P24638,ENSMUSG00000002103.17
P24668,ENSMUSG00000007458.15
P24721,ENSMUSG00000040963.16
P24788,ENSMUSG00000029062.15
P25425,ENSMUSG00000026565.19
P25444,ENSMUSG00000044533.16
P25446,ENSMUSG00000024778.14
P25688,ENSMUSG00000028186.15
P25799,ENSMUSG00000028163.18
P25911,ENSMUSG00000042228.15
P26039,ENSMUSG00000028465.17
P26040,ENSMUSG00000052397.9
P26043,ENSMUSG00000032050.19
P26149,ENSMUSG00000063730.14
P26150,ENSMUSG00000062410.15
P26187,ENSMUSG00000054612.5
P26231,ENSMUSG00000037815.8
P26262,ENSMUSG00000109764.2
P26350,ENSMUSG00000026238.15
P26369,ENSMUSG00000030435.18
P26443,ENSMUSG00000021794.17
P26450,ENSMUSG00000041417.16
P26516,ENSMUSG00000039067.6
P26638,ENSMUSG00000068739.14
P26883,ENSMUSG00000032966.15
P26928,ENSMUSG00000032591.16
P27046,ENSMUSG00000024085.14
P27546,ENSMUSG00000032479.16
P27600,ENSMUSG00000000149.11
P27601,ENSMUSG00000020611.15
P27612,ENSMUSG00000028577.14
P27641,ENSMUSG00000026187.10
P27656,ENSMUSG00000032207.11
P27659,ENSMUSG00000060036.15
P27661,ENSMUSG00000049932.4
P27773,ENSMUSG00000027248.14
P27786,ENSMUSG00000003555.9
P27808,ENSMUSG00000020346.17
P28033,ENSMUSG00000056501.4
P28063,ENSMUSG00000024338.16
P28230,ENSMUSG00000047797.15
P28271,ENSMUSG00000028405.10
P28352,ENSMUSG00000035960.15
P28474,ENSMUSG00000028138.9
P28571,ENSMUSG00000028542.18
P28650,ENSMUSG00000011148.15
P28651,ENSMUSG00000041261.10
P28656,ENSMUSG00000058799.17
P28658,ENSMUSG00000016541.11
P28659,ENSMUSG00000005506.17
P28660,ENSMUSG00000027002.14
P28665,ENSMUSG00000059908.10
P28666,ENSMUSG00000030131.9
P28700,ENSMUSG00000015846.17
P28740,ENSMUSG00000021693.21
P28798,ENSMUSG00000034708.13
P28843,ENSMUSG00000035000.9
P29341,ENSMUSG00000022283.16
P29351,ENSMUSG00000004266.16
P29416,ENSMUSG00000025232.9
P29595,ENSMUSG00000010376.17
P29699,ENSMUSG00000022868.7
P29758,ENSMUSG00000030934.10
P29788,ENSMUSG00000017344.5
P30115,ENSMUSG00000025934.16
P30416,ENSMUSG00000030357.11
P30681,ENSMUSG00000054717.8
P30999,ENSMUSG00000034101.15
P30999,ENSMUSG00000101645.2
P31230,ENSMUSG00000028029.12
P31649,ENSMUSG00000030108.15
P31786,ENSMUSG00000026385.17
P31809,ENSMUSG00000074272.11
P31938,ENSMUSG00000004936.9
P32020,ENSMUSG00000028603.16
P32067,ENSMUSG00000068882.14
P32233,ENSMUSG00000020457.14
P32261,ENSMUSG00000026715.13
P32507,ENSMUSG00000062300.15
P32883,ENSMUSG00000030265.15
P32921,ENSMUSG00000021266.17
P33215,ENSMUSG00000019988.8
P33267,ENSMUSG00000052974.9
P33587,ENSMUSG00000024386.10
P34022,ENSMUSG00000005732.15
P34152,ENSMUSG00000022607.19
P34884,ENSMUSG00000033307.8
P34914,ENSMUSG00000022040.9
P34927,ENSMUSG00000020884.16
P34928,ENSMUSG00000040564.15
P35123,ENSMUSG00000032612.15
P35235,ENSMUSG00000043733.15
P35276,ENSMUSG00000019066.14
P35278,ENSMUSG00000019173.12
P35279,ENSMUSG00000030704.15
